round,score,survival time,total rewards
1,0,23,-645
2,0,4,-790
3,0,4,-450
4,0,4,-450
5,0,4,-450
6,0,4,-450
7,0,4,-450
8,0,5,-645
9,0,5,-455
10,0,13,-125
11,0,4,-470
12,0,4,-490
13,0,400,730
14,0,179,-1590
15,0,4,-480
16,0,152,-1955
17,0,71,-1125
18,0,133,-1710
19,0,54,-945
20,0,12,-625
21,0,15,-555
22,0,60,-1025
23,0,101,-1300
24,0,76,-1140
25,0,89,-1215
26,0,90,-1255
27,0,9,-605
28,0,160,-1975
29,0,44,-840
30,0,231,-2665
31,0,26,-765
32,0,110,-1415
33,0,52,-920
34,0,70,-1095
35,0,31,-835
36,0,20,-705
37,0,134,-1655
38,0,55,-935
39,0,32,-735
40,0,166,-2060
41,0,130,-1645
42,0,79,-1150
43,0,124,-1640
44,0,10,-525
45,0,37,-755
46,0,8,-505
47,0,77,-1170
48,0,37,-775
49,0,46,-860
50,0,52,-665
51,0,400,-3525
52,3,400,360
53,1,400,400
54,0,400,-15
55,0,400,15
56,0,400,-25
57,0,81,-85
58,2,400,735
59,1,67,-40
60,5,400,1770
61,0,7,-545
62,0,248,-530
63,0,8,-535
64,0,18,-555
65,0,400,270
66,1,67,160
67,0,10,-545
68,0,18,-220
69,0,23,-545
70,0,38,-180
71,2,400,360
72,0,8,-535
73,0,29,-535
74,0,26,-155
75,3,137,650
76,0,109,-120
77,0,24,-545
78,0,23,-175
79,1,299,130
80,0,47,-180
81,0,26,-200
82,0,12,-545
83,0,400,-120
84,1,45,-170
85,0,31,-545
86,2,177,510
87,0,6,-535
88,0,12,-185
89,0,26,-100
90,0,117,-160
91,3,400,490
92,0,400,55
93,0,18,-535
94,0,12,-545
95,5,400,1630
96,0,49,-575
97,1,149,-145
98,0,228,-85
99,1,177,-75
100,1,400,195
101,0,90,-310
102,0,44,-685
103,1,86,-55
104,1,28,-40
105,3,400,400
106,2,357,390
107,3,97,560
108,3,400,940
109,0,119,-320
110,0,21,-535
111,1,34,30
112,0,4,-240
113,1,400,350
114,0,28,-535
115,1,25,-170
116,2,163,785
117,0,27,-665
118,2,400,525
119,6,400,1635
120,0,19,-205
121,0,8,-190
122,5,252,1030
123,0,33,-155
124,1,400,870
125,1,400,375
126,0,46,-315
127,2,400,720
128,0,129,85
129,5,358,1135
130,0,22,-535
131,0,6,-645
132,0,22,-545
133,2,59,320
134,1,400,505
135,0,208,160
136,0,24,-535
137,0,4,-460
138,0,15,-535
139,0,400,250
140,0,323,95
141,0,19,-575
142,1,143,390
143,0,280,-55
144,0,23,-585
145,0,21,-575
146,2,96,245
147,2,153,315
148,2,305,1165
149,0,30,-585
150,2,90,605
151,1,400,490
152,0,5,-535
153,5,320,2320
154,0,71,180
155,1,62,150
156,0,26,-545
157,0,74,155
158,0,4,-210
159,0,148,135
160,0,11,-160
161,2,67,360
162,0,218,725
163,0,68,-545
164,0,54,-90
165,0,117,-110
166,0,13,-535
167,0,5,-575
168,0,400,910
169,0,72,-575
170,0,185,220
171,4,286,1780
172,0,9,-585
173,1,77,415
174,0,86,210
175,0,15,-170
176,0,5,-180
177,0,15,-585
178,0,121,245
179,0,112,280
180,1,47,30
181,0,42,-5
182,2,103,650
183,1,90,580
184,0,74,-135
185,0,98,-635
186,0,63,-605
187,1,31,115
188,1,400,725
189,0,8,-575
190,0,71,-40
191,0,60,245
192,0,34,-555
193,0,7,-575
194,0,21,-545
195,1,63,60
196,0,41,20
197,2,176,1005
198,0,19,-575
199,0,18,5
200,0,11,-575
