round,score,survival time,total rewards,cc
1,0,4,-180,0
2,0,9,-200,0
3,1,58,-430,1
4,1,13,-235,1
5,1,20,-100,1
6,0,11,-50,0
7,2,23,-190,2
8,0,6,-165,0
9,0,9,-110,0
10,0,11,-175,0
11,2,25,-105,1
12,2,61,-360,2
13,0,18,-290,0
14,1,16,50,1
15,0,13,-280,0
16,2,24,-160,1
17,1,9,-205,0
18,0,6,25,0
19,2,37,-95,2
20,0,26,-230,0
21,1,19,-75,1
22,2,71,285,1
23,3,56,-350,2
24,1,14,-80,1
25,0,9,-220,0
26,8,58,905,8
27,0,30,90,0
28,8,149,1055,8
29,6,61,390,6
30,10,88,935,9
31,2,34,470,2
32,12,179,1455,12
33,16,165,2180,16
34,4,60,695,4
35,11,68,1355,11
36,6,57,600,6
37,10,116,1335,9
38,12,42,1025,12
39,0,4,-180,0
40,7,28,475,6
41,8,25,570,7
42,0,7,-160,0
43,2,27,-60,2
44,17,92,1790,17
45,2,20,390,2
46,9,36,620,9
47,0,8,-155,0
48,10,71,1015,10
49,5,34,225,5
50,14,75,1330,13
51,4,23,225,4
52,10,89,1235,10
53,6,64,450,5
54,8,60,0,7
55,3,58,445,3
56,0,10,-150,0
57,19,105,2185,18
58,2,6,-90,1
59,1,31,75,1
60,9,66,540,9
61,1,6,-115,1
62,9,58,785,9
63,0,40,-535,0
64,6,33,445,6
65,1,9,-30,1
66,8,33,645,8
67,13,83,1445,13
68,9,67,460,9
69,5,130,800,5
70,16,71,1255,16
71,0,5,-200,0
72,7,49,580,6
73,0,33,20,0
74,2,11,220,2
75,12,91,1355,12
76,5,36,605,5
77,0,14,-310,0
78,5,21,425,5
79,9,99,1140,9
80,7,42,590,7
81,0,13,-225,0
82,10,187,1700,10
83,0,23,-55,0
84,2,10,-20,2
85,2,24,125,2
86,3,24,355,3
87,1,20,-170,1
88,9,59,1065,9
89,7,30,725,6
90,1,7,45,0
91,14,73,1440,13
92,10,67,1260,10
93,2,9,-120,1
94,16,188,2320,16
95,2,20,100,2
96,0,6,-200,0
97,11,89,1055,11
98,6,35,545,5
99,0,13,5,0
100,3,67,-30,3
101,17,87,1770,16
102,17,82,1865,16
103,7,21,390,7
104,12,104,1390,12
105,1,27,-15,1
106,7,63,705,7
107,2,21,150,2
108,0,7,-160,0
109,0,30,-35,0
110,5,38,560,5
111,1,7,120,1
112,16,99,1965,16
113,0,62,-505,0
114,1,6,-5,1
115,1,10,-120,1
116,6,82,910,6
117,10,66,1025,10
118,6,22,410,6
119,0,5,-10,0
120,0,38,-540,0
121,2,14,165,2
122,1,5,75,1
123,0,5,-200,0
124,10,55,930,10
125,1,13,-35,1
126,2,18,150,2
127,7,61,365,7
128,7,44,890,7
129,8,48,680,8
130,3,24,495,3
131,6,45,815,6
132,2,5,75,1
133,1,13,-65,1
134,0,13,-20,0
135,19,156,2210,19
136,12,122,1200,12
137,7,48,655,6
138,0,5,-100,0
139,8,68,510,7
140,4,20,170,4
141,2,16,130,2
142,8,44,800,8
143,14,133,1200,13
144,0,10,-155,0
145,14,89,1310,13
146,2,119,-15,2
147,1,17,-75,1
148,9,54,235,9
149,0,8,-205,0
150,12,52,920,12
151,7,63,730,7
152,19,105,1950,19
153,3,24,25,2
154,5,18,510,5
155,4,76,530,4
156,6,49,645,6
157,4,51,-260,4
158,12,83,1215,12
159,0,56,305,0
160,7,67,730,7
161,9,44,1035,9
162,1,21,5,1
163,3,22,415,3
164,2,22,95,2
165,3,46,280,3
166,0,20,-85,0
167,0,5,-190,0
168,5,31,665,5
169,1,17,90,1
170,17,105,2050,17
171,5,27,240,4
172,16,115,2260,16
173,5,95,920,5
174,7,64,280,7
175,7,50,435,7
176,1,9,-70,1
177,1,13,-70,1
178,11,139,1665,11
179,5,17,495,4
180,9,30,850,9
181,2,24,5,1
182,2,15,35,1
183,3,28,480,3
184,15,122,1735,15
185,1,12,115,1
186,2,17,-15,1
187,1,13,5,1
188,9,146,805,9
189,6,81,765,6
190,0,36,-700,0
191,0,20,-25,0
192,2,18,-40,2
193,1,25,125,1
194,8,87,1330,7
195,1,26,330,1
196,1,60,165,1
197,3,11,240,2
198,0,13,-260,0
199,0,8,-115,0
200,10,128,1675,10
