round,score,survival time,total rewards
1,0,5,420
2,0,39,1220
3,0,78,-1180
4,0,12,-1240
5,0,7,360
6,0,14,-1240
7,0,66,-380
8,0,37,-1180
9,0,21,-1240
10,0,22,820
11,0,41,-1240
12,0,97,-410
13,0,36,1640
14,0,56,-380
15,0,34,380
16,0,34,3500
17,1,18,2050
18,0,4,-1200
19,0,50,1500
20,0,4,-1200
21,0,37,3000
22,0,41,1420
23,0,4,400
24,0,4,1200
25,0,4,1200
26,0,4,1200
27,0,4,1200
28,0,4,400
29,0,4,1200
30,0,4,400
31,0,4,-400
32,0,4,1200
33,0,4,400
34,0,18,2840
35,0,4,1200
36,0,4,1200
37,0,4,400
38,0,4,400
39,0,4,-1200
40,0,35,2000
41,0,18,2390
42,0,19,2350
43,0,11,2820
44,0,4,-1200
45,0,4,400
46,0,4,1200
47,2,70,5880
48,0,4,1200
49,0,4,400
50,0,40,3900
51,0,4,400
52,0,4,1200
53,0,4,-1200
54,0,11,20
55,0,5,820
56,0,4,1200
57,0,5,1160
58,0,99,9260
59,0,40,4720
60,0,4,400
61,0,11,2020
62,0,4,1200
63,0,4,400
64,0,13,2380
65,0,4,1200
66,0,33,4300
67,0,76,5300
68,0,4,1200
69,0,4,1200
70,0,4,400
71,0,4,1200
72,0,4,1200
73,0,4,400
74,0,11,1220
75,0,8,-440
76,0,11,2820
77,0,100,7960
78,0,4,400
79,0,4,1200
80,0,4,1200
81,0,19,2720
82,0,4,400
83,0,4,400
84,0,4,1200
85,0,100,9630
86,0,4,1200
87,0,4,1200
88,0,11,-440
89,0,11,1560
90,0,4,1200
91,0,4,1200
92,0,4,400
93,0,5,1160
94,0,5,1160
95,0,4,1200
96,0,4,1200
97,0,4,-400
98,0,4,400
99,0,18,1980
100,0,4,400
