round,score,survival time,total rewards,cc
1,0,36,70,0
2,0,170,-60,0
3,0,7,130,0
4,0,6,85,0
5,0,17,125,0
6,0,51,-55,0
7,1,18,180,1
8,0,19,125,0
9,0,11,145,0
10,0,12,130,0
11,0,18,25,0
12,0,31,145,0
13,0,100,85,0
14,0,17,35,0
15,0,121,35,0
16,0,53,-30,0
17,0,176,-115,0
18,0,56,160,0
19,0,44,110,0
20,0,26,-80,0
21,0,53,-30,0
22,0,44,-205,0
23,0,136,130,0
24,0,8,-10,0
25,0,252,-95,0
26,0,21,130,0
27,0,30,-110,0
28,0,10,-20,0
29,0,36,-20,0
30,0,17,85,0
31,0,8,0,0
32,0,23,-15,0
33,0,4,-5,0
34,0,34,-115,0
35,0,53,55,0
36,0,70,105,0
37,0,62,135,0
38,0,12,25,0
39,0,22,-5,0
40,0,10,-25,0
41,0,36,235,0
42,0,71,270,0
43,0,185,180,0
44,0,20,135,0
45,0,81,35,0
46,0,6,80,0
47,0,88,230,0
48,0,30,-5,0
49,0,74,165,0
50,0,25,-100,0
51,0,18,175,0
52,0,19,45,0
53,1,31,95,1
54,0,126,-145,0
55,0,4,0,0
56,1,83,75,1
57,0,39,35,0
58,0,87,-205,0
59,0,52,35,0
60,0,78,70,0
61,0,88,160,0
62,0,194,125,0
63,0,6,130,0
64,0,37,40,0
65,0,24,45,0
66,0,32,15,0
67,0,28,-95,0
68,0,28,130,0
69,1,60,85,1
70,0,99,185,0
71,0,39,-55,0
72,0,15,150,0
73,0,86,85,0
74,0,6,-5,0
75,0,169,-200,0
76,0,26,-60,0
77,0,53,-30,0
78,0,102,-25,0
79,0,104,-40,0
80,1,155,120,1
81,0,6,-5,0
82,0,125,-40,0
83,0,48,-40,0
84,0,7,0,0
85,0,34,315,0
86,0,84,-90,0
87,1,57,-20,1
88,1,58,175,1
89,0,178,-245,0
90,0,164,-135,0
91,0,7,-10,0
92,0,45,-130,0
93,0,23,5,0
94,0,53,270,0
95,0,37,-130,0
96,0,75,85,0
97,1,264,495,1
98,1,99,-85,1
99,0,57,235,0
100,0,95,150,0
101,0,123,-200,0
102,0,50,175,0
103,0,29,30,0
104,0,12,40,0
105,0,119,-345,0
106,0,35,50,0
107,0,160,-140,0
108,0,157,-500,0
109,0,115,120,0
110,0,11,-25,0
111,0,47,180,0
112,0,133,-195,0
113,0,62,-125,0
114,0,13,100,0
115,0,101,360,0
116,0,25,55,0
117,0,101,50,0
118,0,79,35,0
119,0,53,-40,0
120,0,58,60,0
121,0,10,-10,0
122,0,7,-15,0
123,0,21,125,0
124,0,41,-150,0
125,0,5,0,0
126,0,150,10,0
127,0,51,-165,0
128,0,67,185,0
129,0,49,-160,0
130,0,70,95,0
131,0,35,270,0
132,0,10,40,0
133,0,17,55,0
134,0,22,110,0
135,1,52,20,1
136,0,34,10,0
137,0,43,120,0
138,0,118,-185,0
139,0,67,-125,0
140,0,99,545,0
141,2,157,-440,2
142,0,141,-350,0
143,0,7,-10,0
144,0,30,155,0
145,0,9,-20,0
146,0,64,90,0
147,0,17,-45,0
148,0,52,-230,0
149,0,19,55,0
150,0,99,170,0
151,0,50,50,0
152,1,99,-150,1
153,0,27,-15,0
154,0,143,25,0
155,0,26,-45,0
156,0,122,-235,0
157,0,44,175,0
158,0,8,-15,0
159,0,62,-20,0
160,1,19,115,1
161,0,47,85,0
162,0,21,-20,0
163,0,24,140,0
164,0,116,-225,0
165,0,34,-115,0
166,0,36,145,0
167,0,16,-20,0
168,0,16,195,0
169,0,45,195,0
170,0,20,120,0
171,0,34,-125,0
172,0,12,110,0
173,0,6,-5,0
174,0,110,70,0
175,0,142,-195,0
176,2,166,245,2
177,0,30,35,0
178,0,6,-10,0
179,0,102,-100,0
180,0,10,45,0
181,0,20,-5,0
182,0,18,-45,0
183,0,41,110,0
184,0,197,-320,0
185,0,27,-110,0
186,0,169,-490,0
187,0,20,-50,0
188,0,120,-80,0
189,0,30,-125,0
190,0,280,-810,0
191,0,9,90,0
192,0,60,-255,0
193,0,11,-20,0
194,0,24,95,0
195,0,43,-25,0
196,0,5,30,0
197,0,4,0,0
198,1,65,90,1
199,0,29,-25,0
200,0,41,270,0
201,0,27,80,0
202,0,37,30,0
203,0,57,-195,0
204,0,121,195,0
205,0,38,190,0
206,1,139,-265,1
207,0,209,-100,0
208,0,4,-5,0
209,0,140,-210,0
210,0,47,-195,0
211,0,31,-130,0
212,1,89,55,1
213,0,7,-10,0
214,0,4,-15,0
215,0,66,140,0
216,0,164,-20,0
217,0,15,95,0
218,0,38,-30,0
219,0,22,15,0
220,0,5,0,0
221,0,153,140,0
222,0,47,220,0
223,0,60,-70,0
224,0,76,260,0
225,0,68,-145,0
226,0,25,45,0
227,0,59,-60,0
228,0,51,-140,0
229,0,61,-280,0
230,2,19,135,2
231,0,53,50,0
232,0,100,210,0
233,0,31,140,0
234,0,18,-60,0
235,0,106,-60,0
236,0,27,40,0
237,0,112,160,0
238,0,73,-190,0
239,0,40,5,0
240,0,4,-5,0
241,0,12,160,0
242,0,46,0,0
243,0,32,-125,0
244,1,183,-20,1
245,0,23,150,0
246,0,42,-5,0
247,0,9,125,0
248,0,4,0,0
249,0,38,275,0
250,0,37,55,0
251,0,6,5,0
252,0,73,40,0
253,0,25,-100,0
254,0,74,15,0
255,0,79,-195,0
256,0,8,45,0
257,0,43,-155,0
258,0,98,5,0
259,0,7,0,0
260,0,109,-330,0
261,0,56,-60,0
262,0,100,-280,0
263,0,53,285,0
264,0,114,140,0
265,0,46,165,0
266,0,6,10,0
267,0,40,-155,0
268,0,87,-345,0
269,0,15,-45,0
270,0,10,-20,0
271,1,50,170,1
272,0,149,-475,0
273,0,5,30,0
274,0,23,60,0
275,0,84,-355,0
276,0,125,-140,0
277,0,247,-680,0
278,0,305,225,0
279,0,8,55,0
280,0,25,-85,0
281,0,126,-50,0
282,0,70,-150,0
283,0,4,70,0
284,0,21,85,0
285,0,17,-40,0
286,0,155,-220,0
287,0,16,75,0
288,0,32,190,0
289,0,163,45,0
290,0,17,-60,0
291,0,16,-50,0
