round,score,survival time,total rewards
1,0,30,0
2,1,25,60
3,3,69,180
4,0,31,0
5,0,67,0
6,0,15,0
7,0,64,0
8,0,9,0
9,3,20,180
10,0,10,0
11,2,12,60
12,1,7,0
13,1,56,60
14,1,7,60
15,4,72,180
16,1,15,60
17,0,6,0
18,0,4,0
19,0,38,0
20,1,37,60
21,1,38,60
22,1,9,0
23,1,79,0
24,1,53,60
25,0,4,0
26,3,48,120
27,0,10,0
28,1,45,60
29,1,27,60
30,1,52,60
31,0,46,0
32,1,61,60
33,0,21,0
34,1,73,60
35,1,13,60
36,0,62,0
37,0,15,0
38,1,53,60
39,0,29,0
40,0,41,0
41,0,17,0
42,2,84,120
43,2,38,60
44,1,48,60
45,1,187,60
46,0,4,0
47,1,15,60
48,3,120,180
49,0,9,0
50,0,32,0
51,2,70,120
52,0,12,0
53,1,101,60
54,1,26,60
55,0,48,0
56,0,15,0
57,0,54,0
58,0,8,0
59,0,26,0
60,0,18,0
61,0,27,0
62,3,46,180
63,0,12,0
64,2,52,120
65,0,26,0
66,1,33,60
67,1,15,0
68,0,21,0
69,0,4,0
70,1,38,60
71,4,113,240
72,1,55,60
73,0,66,0
74,5,30,240
75,2,23,120
76,1,110,60
77,0,16,0
78,2,12,120
79,0,16,0
80,0,102,0
81,0,9,0
82,0,5,0
83,3,28,180
84,1,13,0
85,0,38,0
86,0,11,0
87,1,24,0
88,1,13,0
89,0,32,0
90,2,125,120
91,1,28,60
92,0,252,0
93,0,16,0
94,2,40,120
95,0,167,0
96,0,23,0
97,0,32,0
98,1,9,60
99,0,36,0
100,0,53,0
101,1,40,60
102,1,39,60
103,1,65,60
104,1,27,60
105,0,58,0
106,4,42,180
107,2,73,120
108,0,7,0
109,3,67,180
110,2,73,120
111,0,4,0
112,0,23,0
113,0,5,0
114,0,27,0
115,1,42,60
116,0,75,0
117,1,20,60
118,2,47,60
119,4,52,240
120,0,6,0
121,2,72,120
122,0,35,0
123,1,50,60
124,0,48,0
125,0,8,0
126,1,22,60
127,2,7,120
128,0,72,0
129,2,110,120
130,3,149,180
131,1,66,0
132,0,26,0
