round,score,survival time,total rewards
1,0,10,0
2,3,77,1340
3,1,8,100
4,0,32,440
5,1,85,1060
6,0,89,40
7,4,19,640
8,2,10,220
9,0,49,80
10,1,6,0
11,3,101,1260
12,0,9,80
13,1,39,660
14,1,4,100
15,1,59,120
16,2,69,1360
17,0,12,0
18,1,13,100
19,0,14,0
20,0,77,960
21,1,33,620
22,0,23,320
23,1,119,1800
24,1,63,740
25,0,12,40
26,1,34,700
27,0,79,1400
28,0,22,240
29,0,85,1320
30,0,6,0
31,0,28,0
32,1,24,320
33,1,7,100
34,1,19,180
35,1,13,180
36,2,34,640
37,1,18,0
38,0,4,0
39,0,4,0
40,1,14,160
41,3,31,660
42,0,10,120
43,0,4,0
44,1,7,0
45,1,17,300
46,0,15,0
47,4,89,1300
48,3,89,1980
49,1,65,1220
50,1,39,580
51,0,5,40
52,1,7,100
53,0,4,0
54,1,67,700
55,0,4,0
56,1,43,780
57,0,15,160
58,2,24,420
59,0,19,240
60,0,14,160
61,0,4,0
62,1,36,340
63,0,24,120
64,2,25,440
65,0,19,80
66,1,53,580
67,0,21,320
68,0,45,480
69,2,26,400
70,4,126,2440
71,0,37,0
72,0,10,0
73,1,62,300
74,0,8,0
75,1,14,180
76,1,20,220
77,0,29,400
78,2,91,440
79,0,7,80
80,2,103,1700
81,0,4,0
82,2,14,100
83,1,27,220
84,1,29,220
85,0,67,160
86,0,36,520
87,0,6,40
88,1,29,580
89,2,43,260
90,1,149,2700
91,1,12,160
92,1,13,200
93,0,22,80
94,1,85,420
95,0,18,240
96,2,28,380
97,0,22,0
98,5,105,2420
99,0,29,480
100,1,12,140
101,0,4,0
102,2,81,1440
103,0,16,160
104,0,10,0
105,1,6,0
106,1,8,0
107,0,6,40
108,1,10,100
109,0,11,0
110,0,12,160
111,1,6,100
112,0,5,0
113,0,4,0
114,1,10,80
115,0,16,160
116,1,37,660
117,4,63,1560
118,0,31,200
119,1,19,220
120,0,6,0
121,1,38,500
122,1,6,100
123,0,103,120
124,0,32,0
125,1,19,300
126,1,12,260
127,2,6,160
128,2,90,1640
129,0,32,520
130,1,11,140
131,1,9,220
132,2,10,180
133,1,34,140
134,0,17,240
135,1,21,40
136,2,14,280
137,1,25,500
138,1,55,1060
139,2,58,1000
140,0,4,0
141,0,4,0
142,0,38,520
143,0,24,0
144,0,6,0
145,3,73,1020
146,0,6,0
147,4,62,800
148,2,29,540
149,0,21,0
150,1,12,40
151,0,10,120
152,1,37,580
153,0,6,0
154,2,56,1160
155,0,17,240
156,0,7,0
157,0,19,40
158,0,18,40
159,0,4,0
160,0,4,0
161,0,11,0
162,1,40,600
163,0,34,40
164,2,43,600
165,3,50,1180
166,2,27,560
167,0,4,40
168,0,4,0
169,0,4,0
170,0,47,40
171,1,28,200
172,0,7,0
173,0,8,80
174,0,35,80
175,2,33,360
176,0,5,0
177,0,16,120
178,0,10,40
179,2,96,480
180,0,47,760
181,0,8,80
182,1,6,0
183,0,4,0
184,3,49,540
185,1,5,0
186,1,39,140
187,1,5,0
188,1,107,620
189,0,11,120
190,0,4,0
191,2,39,800
192,0,17,0
193,0,18,0
194,3,59,1340
195,0,4,0
196,2,13,360
197,4,142,2360
198,1,20,340
199,4,76,1200
200,0,4,0
201,0,10,40
202,0,44,680
203,0,10,40
204,0,5,0
205,0,35,120
206,2,14,340
207,1,65,1180
208,0,4,0
209,1,14,220
210,2,69,1000
211,2,36,380
212,3,36,280
213,0,20,40
214,0,5,0
215,0,13,160
216,0,6,0
217,1,40,640
218,1,25,380
219,1,37,660
220,0,40,320
221,0,18,160
222,0,78,80
223,2,78,1440
224,6,183,2640
225,1,22,380
226,1,9,140
227,0,8,80
228,0,11,80
229,1,83,1540
230,0,4,0
231,0,21,0
232,0,8,40
233,0,4,0
234,0,12,40
235,0,25,240
236,0,6,80
237,1,29,300
238,0,36,520
239,0,4,0
240,1,14,40
241,0,12,120
242,0,4,0
243,0,4,0
244,0,4,0
245,3,46,620
246,1,17,220
247,1,39,420
248,0,83,1360
249,0,8,0
250,3,11,320
251,0,23,0
252,0,46,120
253,0,24,160
254,0,22,40
255,1,4,0
256,0,12,120
257,2,18,400
258,0,40,600
259,0,4,0
260,0,26,40
261,0,35,600
262,0,4,0
263,4,48,1020
264,1,72,1300
265,0,78,400
266,0,22,280
267,2,55,1120
268,1,12,100
269,0,25,40
270,1,26,320
271,0,4,0
272,0,37,240
273,0,15,0
274,0,5,0
275,1,52,700
276,0,10,80
277,0,4,0
278,1,43,760
279,0,46,680
280,2,19,400
281,1,37,700
282,0,55,600
283,0,7,40
284,1,21,100
285,0,12,40
286,0,79,1160
287,0,4,40
288,1,10,100
289,4,99,1160
290,1,55,0
291,2,31,640
292,0,39,80
293,0,4,0
294,1,45,620
295,1,95,1660
296,0,38,520
297,1,13,40
298,2,164,3000
299,1,27,380
300,1,4,0
301,0,11,0
302,0,16,200
303,0,22,80
304,4,57,1140
305,0,31,480
306,2,47,1040
307,1,44,660
308,0,45,40
309,0,55,160
310,1,51,580
311,1,30,140
312,1,5,40
313,5,158,1540
314,1,11,60
315,1,12,140
316,2,79,440
317,0,16,0
318,1,4,60
319,0,16,160
320,2,46,620
321,0,20,320
322,0,25,320
323,3,17,320
324,2,49,500
325,0,22,80
326,2,47,420
327,1,41,340
328,1,38,620
329,1,47,740
330,1,5,0
331,0,16,0
332,1,62,380
333,0,8,0
334,0,16,200
335,0,15,200
336,0,7,40
337,1,142,1940
338,0,37,640
339,0,13,120
340,0,14,0
341,2,48,880
342,0,7,40
343,2,63,1120
344,1,22,380
345,3,112,2140
346,0,20,0
347,0,4,0
348,1,19,380
349,2,65,920
350,1,28,80
351,0,18,40
352,0,22,320
353,0,27,400
354,1,7,40
355,0,19,120
356,1,42,700
357,2,33,260
358,0,7,80
359,1,20,260
360,0,20,0
361,0,23,40
362,1,13,220
363,0,6,40
364,0,62,1000
365,1,24,460
366,1,68,340
367,0,21,40
368,0,29,360
369,0,40,160
370,0,29,0
371,3,92,1700
372,1,5,0
373,2,62,480
374,5,161,3100
375,0,10,40
376,3,126,2340
377,2,39,380
378,0,36,520
379,5,76,1800
380,1,6,100
381,1,11,40
382,1,65,500
383,0,42,0
384,0,29,360
385,4,29,620
386,0,73,1160
387,0,34,40
388,3,133,1880
389,0,9,40
390,0,13,0
391,0,46,600
392,0,20,0
393,0,6,0
394,0,7,0
395,0,4,0
396,3,108,1200
397,0,43,80
398,2,49,680
399,0,19,0
400,0,11,0
