round,score,survival time,total rewards
1,0,17,-165
2,0,12,-275
3,0,4,-130
4,0,14,-130
5,0,16,-300
6,0,71,-380
7,0,29,-250
8,0,11,-105
9,0,33,-390
10,0,92,-230
11,0,22,-330
12,0,14,-65
13,0,5,-245
14,0,36,-120
15,0,15,-55
16,0,115,-380
17,0,42,-275
18,0,63,-395
19,0,47,-125
20,0,7,-245
21,0,71,-110
22,0,73,-195
23,0,24,-165
24,0,51,-255
25,0,57,-80
26,0,5,-240
27,0,16,-125
28,0,20,-120
29,0,31,-125
30,0,9,-250
31,0,57,-160
32,0,24,-80
33,0,19,10
34,0,69,-140
35,0,25,-105
36,0,16,-250
37,0,30,-245
38,0,23,-265
39,0,61,-170
40,0,13,-120
41,0,45,-140
42,0,5,-255
43,0,155,-90
44,0,6,-255
45,0,79,-35
46,0,16,-255
47,0,4,-120
48,0,153,-60
49,0,140,270
50,0,30,-50
51,0,71,-365
52,0,65,-125
53,0,17,-20
54,0,65,10
55,0,37,-55
56,0,41,-250
57,0,79,-135
58,0,23,-60
59,0,29,50
60,0,28,-105
61,0,26,70
62,0,66,-45
63,0,21,15
64,1,71,280
65,0,14,-100
66,2,81,815
67,0,5,-115
68,0,21,70
69,0,37,35
70,0,62,555
71,1,30,590
72,0,19,160
73,0,124,110
74,0,48,460
75,1,28,555
76,0,21,365
77,2,152,2405
78,0,22,170
79,0,28,360
80,0,44,190
81,0,93,270
82,0,23,150
83,0,28,330
84,0,70,260
85,1,97,1325
86,0,85,1290
87,1,110,1805
88,2,68,1630
89,0,37,460
90,0,58,940
91,0,35,370
92,1,54,655
93,1,21,550
94,1,78,1670
95,0,28,360
96,1,44,715
97,1,69,830
98,0,6,90
99,0,36,420
100,0,20,155
101,0,43,235
102,0,102,690
103,0,5,100
104,0,50,645
105,0,8,5
106,0,17,-305
107,0,19,250
108,1,33,445
109,0,21,150
110,1,37,620
111,0,4,-130
112,0,15,190
113,1,92,1660
114,2,144,2125
115,1,30,410
116,3,87,1445
